Local, Out-upper, In-lower, Out-upper-impure, In-lower-impure, Out-jitter, In-jitter
1014298844807360, , , 1601330838870737484, 1601330838836943269, 2253728, 114203
1014299878719377, , , 1601330838872991212, 1601330838836829066, 2253728, 114203
1014300915236475, 1601330838872340460, 1601330838836771911, , , 1682234, 505076
1014301950922829, 1601330838870658226, 1601330838836266835, , , 1682234, 505076
1014302985757246, , , 1601330838869789965, 1601330838836837350, 9055372, 332167
1014304018865421, , , 1601330838878845337, 1601330838837169517, 9055372, 332167
1014305060935610, , , 1601330838872066369, 1601330838816003314, 1487672, 21131103
1014306117116998, , , 1601330838870578697, 1601330838837134417, 1487672, 21131103
1014307150851935, , , 1601330838872930285, 1601330838836764211, 2425635, 282632
1014308187079901, , , 1601330838870504650, 1601330838837046843, 2425635, 282632
1014309220822645, , , 1601330838872745100, 1601330838820384641, 3958362, 16636425
1014310273300942, , , 1601330838868786738, 1601330838837021066, 3958362, 16636425
1014311305571313, 1601330838871460346, 1601330838837166541, , , 4927, 341332
1014312340194289, 1601330838871465273, 1601330838836825209, , , 4927, 341332
1014313375234869, 1601330838870498001, 1601330838836705048, , , 229456, 123540
1014314409413966, 1601330838870268545, 1601330838836828588, , , 229456, 123540
1014315443245196, , , 1601330838900774834, 1601330838837063748, 4250548, 975668
1014316507206441, , , 1601330838896524286, 1601330838836088080, 4250548, 975668
1014317567954124, 1601330838871647810, 1601330838836825777, , , 973534, 238769
1014318602920452, 1601330838870674276, 1601330838837064546, , , 973534, 238769
1014319636802152, 1601330838870949979, 1601330838836944443, , , 363586, 260666
1014320671030087, 1601330838870586393, 1601330838836683777, , , 363586, 260666
1014321705385396, , , 1601330838870164937, 1601330838836932266, 11043779, 396908
1014322738808303, , , 1601330838881208716, 1601330838836535358, 11043779, 396908
1014323783825757, 1601330838871884904, 1601330838837029254, , , 1199518, 135181
1014324818905545, 1601330838870685386, 1601330838836894073, , , 1199518, 135181
1014325853092619, 1601330838870578079, 1601330838837125497, , , 325006, 258041
1014326886634099, 1601330838870903085, 1601330838836867456, , , 325006, 258041
1014327920861828, , , 1601330838868761620, 1601330838836951722, 2055720, 83887
1014328952822667, , , 1601330838870817340, 1601330838837035609, 2055720, 83887
1014329986866484, 1601330838871062887, 1601330838837181199, , , 1387750, 666387
1014331021097134, 1601330838872450637, 1601330838836514812, , , 1387750, 666387
1014332057475225, 1601330838870641316, 1601330838837055793, , , 1681889, 258357
1014333091295179, 1601330838872323205, 1601330838836797436, , , 1681889, 258357
1014334127260446, 1601330838870916989, 1601330838836839345, , , 67527, 102602
1014335161758671, 1601330838870849462, 1601330838836736743, , , 67527, 102602
1014336196203793, 1601330838870230440, 1601330838836781518, , , 127994, 78972
1014337230101414, 1601330838870102446, 1601330838836702546, , , 127994, 78972
1014338264013262, 1601330838871586602, 1601330838836672981, , , 969268, 352701
1014339299046373, 1601330838870617334, 1601330838837025682, , , 969268, 352701
1014340332835734, 1601330838872793526, 1601330838836840048, , , 1972203, 450658
1014341368872261, 1601330838870821323, 1601330838837290706, , , 1972203, 450658
1014342402677928, , , 1601330838870846489, 1601330838836794448, 2322106, 263238
1014343437092376, , , 1601330838868524383, 1601330838837057686, 2322106, 263238
1014344469103360, 1601330838870539540, 1601330838837057173, , , 1730467, 185724
1014345502730859, 1601330838868809073, 1601330838837242897, , , 1730467, 185724
1014346534721105, , , 1601330838872883472, 1601330838836673217, 2362958, 406402
1014347571078631, , , 1601330838870520514, 1601330838837079619, 2362958, 406402
1014348604792256, 1601330838870953023, 1601330838836877439, , , 1538155, 225175
1014349639132682, 1601330838869414868, 1601330838837102614, , , 1538155, 225175
1014350671906442, 1601330838871670493, 1601330838836842075, , , 1017085, 157011
1014351706950717, 1601330838872687578, 1601330838836685064, , , 1017085, 157011
1014352743307365, 1601330838871379750, 1601330838836763775, , , 28559, 7590
1014353778198740, 1601330838871408309, 1601330838836771365, , , 28559, 7590
1014354813240538, 1601330838872436022, 1601330838837123258, , , 369403, 269657
1014355848818516, 1601330838872805425, 1601330838836853601, , , 369403, 269657
1014356885292465, 1601330838872260052, 1601330838837047670, , , 379195, 408499
1014357920915046, 1601330838872639247, 1601330838836639171, , , 379195, 408499
1014358957271524, , , 1601330838872310977, 1601330838825426094, 3135875, 11167125
1014360004391357, , , 1601330838869175102, 1601330838836593219, 3135875, 11167125
1014361037478188, 1601330838870097460, 1601330838836567451, , , 637321, 663816
1014362071254519, 1601330838870734781, 1601330838837231267, , , 637321, 663816
1014363105049450, , , 1601330838868744776, 1601330838836948426, 3787404, 1157213
1014364137045307, , , 1601330838872532180, 1601330838835791213, 3787404, 1157213
1014365174090470, 1601330838869459005, 1601330838837059318, , , 1445623, 180799
1014366206644307, 1601330838870904628, 1601330838836878519, , , 1445623, 180799
1014367240901826, , , 1601330838870785845, 1601330838837208083, 2226897, 615368
1014368274577429, , , 1601330838873012742, 1601330838836592715, 2226897, 615368
1014369311550714, 1601330838870149375, 1601330838837016300, , , 671667, 143388
1014370344891498, 1601330838870821042, 1601330838837159688, , , 671667, 143388
1014371378925573, 1601330838869041652, 1601330838837215212, , , 387341, 488266
1014372410968692, 1601330838868654311, 1601330838836726946, , , 387341, 488266
1014373443260231, 1601330838870490361, 1601330838836732189, , , 340533, 563285
1014374477187997, 1601330838870830894, 1601330838837295474, , , 340533, 563285
1014375510984492, 1601330838870598586, 1601330838836886401, , , 1063579, 294557
1014376545054226, 1601330838871662165, 1601330838837180958, , , 1063579, 294557
1014377579924449, 1601330838869630448, 1601330838836691398, , , 875206, 14856
1014378613069219, 1601330838870505654, 1601330838836676542, , , 875206, 14856
1014379647211049, 1601330838870408587, 1601330838837069450, , , 394320, 174430
1014380680849713, 1601330838870802907, 1601330838836895020, , , 394320, 174430
1014381715103927, , , 1601330838870441631, 1601330838837127179, 1198715, 3361769
1014382748742060, , , 1601330838869242916, 1601330838833765410, 1198715, 3361769
1014383784637776, , , 1601330838871030041, 1601330838837134808, 2248011, 379149
1014384818863927, , , 1601330838868782030, 1601330838836755659, 2248011, 379149
1014385851268712, 1601330838872493958, 1601330838836764314, , , 1979830, 98233
1014386887260013, 1601330838870514128, 1601330838836666081, , , 1979830, 98233
1014387921615597, 1601330838872016101, 1601330838836871748, , , 1214536, 221131
1014388957148179, 1601330838870801565, 1601330838837092879, , , 1214536, 221131
